Generic Name,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota,MAL_Brands
Selegiline HCl 5 mg Tablet,Nervous System > Anti-parkinson Drugs,N04BD01110T1001XX,No,APPL,A*,Only for treatment of late stage Parkinsonism with on and off phenomenon,,5 mg twice daily at breakfast and lunch. Maximum 10 mg/day,"Hypotension, nausea, confusion, agitation, hallucination, dyskinesia, sleep disturbances, psychosis, constipation, dry mouth, headache, tremor, dizziness","Extrapyramidal symptoms not related to dopamine deficiency, thyrotoxicosis, narrow angle glaucoma agitated psychosis, hypersensitivity to selegiline products. Pregnancy","Hyperpyrexia and central nervous system toxicity with pethidine. Hypertension and central nervous system excitation with fluoxetine and sertraline. Hypotension with MAOIs. Carbamazepine, amitriptyline, amphetamine","History of peptic ulcer, pregnancy and lactation, elderly, concurrent use of tricyclic antidepressants, uncontrolled hypertension. Suicidal ideation and behavior or worsening depression, increased risk during the first few months of therapy or following changes in dosage (particularly in children, adolescents and young adults with major depressive disorder)",FALSE,
Sertraline HCI 50mg Tablet,Nervous System > Psychoanaleptics,N06AB06-110-T10-01-XXX,Yes,LP,B,i) Major depression ii) Obsessive-compulsive disorder (OCD) iii) Panic disorder iv) Social anxiety disorder (social phobia) v) Post-traumatic stress disorder,,"i) Initial: 50mg per day Titration: 50mg increments at intervals of at least a week Max: 200mg per day ii) Initial: 50mg per day Titration: 50mg increments at intervals of at least a week Max: 200mg per day Therapeutic dose range: 50 – 200 mg per day iii), iv) & v) Initial: 25mg per day. Increase to 50mg per day after 1 week. Titration: Adjust dose at intervals of at least a week Max: 200mg per day Dosing is individualised and according to product insert/ protocol. Should not be used in patients under 18 years old except for the treatment of OCD. If, based on clinical need, a decision to treat is nevertheless taken; the patient should be carefully monitored for appearance of suicidal symptoms.","Male sexual dysfunction, gastrointestinal complain, tremor, dizziness, insomnia, headache, dry mouth, somnolence, ejaculatory dysfunction, dyspepsia, decreased libido, sweating, anorexia, agitation, visual disturbances, serotonin syndrome, withdrawal syndrome, rash, pharyngitis, purpura, agranulocytosis, elevated liver enzyme, antidepressants increase the risk of suicidal NPRA Safety Alert 1. 17 Oct 2022 Risk of Microscopic Colitis","Concurrent use or recent use of MAOIs, hypersensitivity to sertraline products","MAO inhibitors, serotonergic drugs, caffeine/ergotamine, cimetidine, lithium, metoprolol, phenytoin, propranolol, warfarin, digoxin, alcohol, central nervous system depressants, carbamezepine, clozapine, cyclosporine, NSAIDs, aspirin, erythromycin, metoclopramide, tramadol, St. John's wort, tolbutamide, tricyclic antidepressants, zolpidem, diazepam","Concomitant use with tryptophan and fenfluramine, impaired hepatic function, electroconvulsive therapy, abnormal bleeding, avoid abrupt discontinuation, hyponatraemia, history of seizures, MAO inhibitors, uricosuric effect. Concomitant use of alcohol should be avoided.",FALSE,
Silver Sulphadiazine 1% Cream,,-,-,-,B,"Prevention and treatment of infections in severe burns, leg ulcers where infections may prevent healing and for the prophylaxis of infections in skin grafting",,Burns: Apply 3 mm thick layer twice daily with sterile applicator. Leg ulcer: apply at least 3 times a week,,,,,FALSE,
Simvastatin 10 mg Tablet,Cardiovascular System > Lipid Modifying Agents,C10AA01000T1001XX,Yes,Government Contract,B,i) Hypercholesterolaemia ii) Prevention of cardiovascular disease,,i) & ii) 10 - 40 mg once daily. Maximum: 80 mg daily,"Abdominal pain, flatulence, constipation, asthenia and headache, rarely hepatitis, hypersensitivity syndrome, upper respiratory infection. Cognitive impairment (e.g. memory loss, forgetfulness, amnesia, memory impairment, confusion), increase in HbA1c and fasting blood glucose. NPRA Safety Alert 1. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia","Hypersensitivity to simvastatin products, active liver disease, pregnancy and lactation",May cause slight elevation of serum digoxin. Cholestyramine and colestipol increase bioavailability of simvastatin. Increased concentrations with mibefradil NPRA Safety Alert 1. 19 Feb 2024 Interaction with Ticagrelor Leading to Increased Risk of Rhabdomyolysis,"Heavy alcohol use, history of liver disease. Discontinue therapy if serum transaminase levels rise to 3 times upper limit of normal and are persistent. May cause myopathy and renal failure due to rhabdomyolysis. Concomitant administration of fibrates, nicotinic acid, immunosuppressives including ciclosporin, macrolide antibiotics (erythromycin, clarithromycin), itraconazole and ketoconazole or nefazodone may increase the risk of myopathy NPRA Safety Alert 1. 18 Jul 2023 Risk of Inducing or Aggravating Myasthenia Gravis 2. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia",FALSE,
Simvastatin 40 mg Tablet,Cardiovascular System > Lipid Modifying Agents,C10AA01000T1003XX,Yes,APPL,B,i) Hypercholesterolaemia ii) Prevention of cardiovascular disease,,i) & ii) 10 - 40 mg once daily. Maximum: 80 mg daily,"Abdominal pain, flatulence, constipation, asthenia and headache, rarely hepatitis, hypersensitivity syndrome, upper respiratory infection. Cognitive impairment (e.g. memory loss, forgetfulness, amnesia, memory impairment, confusion), increase in HbA1c and fasting blood glucose. NPRA Safety Alert 1. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia","Hypersensitivity to simvastatin products, active liver disease, pregnancy and lactation",May cause slight elevation of serum digoxin. Cholestyramine and colestipol increase bioavailability of simvastatin. Increased concentrations with mibefradil NPRA Safety Alert 1. 19 Feb 2024 Interaction with Ticagrelor Leading to Increased Risk of Rhabdomyolysis,"Heavy alcohol use, history of liver disease. Discontinue therapy if serum transaminase levels rise to 3 times upper limit of normal and are persistent. May cause myopathy and renal failure due to rhabdomyolysis. Concomitant administration of fibrates, nicotinic acid, immunosuppressives including ciclosporin, macrolide antibiotics (erythromycin, clarithromycin), itraconazole and ketoconazole or nefazodone may increase the risk of myopathy NPRA Safety Alert 1. 18 Jul 2023 Risk of Inducing or Aggravating Myasthenia Gravis 2. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia",FALSE,
Sodium Bicarbonate 5%W/V Ear Drops,,-,-,-,C,To soften the impacted ear wax,,2-3 drops 3-4 times daily,,,,,FALSE,
Sodium Bicarbonate 8.4% (1 mmol/ml) Injection,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA02131P3002XX,Yes,APPL,B,i) For acceleration of excretion in drug intoxication (where excretion of the drug into the urine is accelerated by elevated urine pH) ii) For metabolic acidosis secondary to underlying diseases,,According to the needs of the patient. In severe shock due to cardiac arrest: 50 ml by IV,"Gastrointestinal cramps, flatulence, alkalosis","Alkalosis, hypernatraemia, hypocalcaemia, hypochloraemia, severe pulmonary oedema, unknown abdominal pain","Amphetamine, aspirin, chlorpropamide, dextroamphetamine, ephedrine, itraconazole, ketoconazole, lithium, pseudoephedrine, flecainide","Renal impairment, peptic ulcer, congestive heart failure, oedema, cirrhosis",FALSE,
Sodium Chloride 0.18% with Dextrose 4.23% Injection,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA03904P6004XX,Yes,APPL,B,For replenishing fluid and energy and for restoring or maintaining the concentration of sodium and chloride ions,,According to the needs of the patient,"Thrombophlebitis, rebound hypoglycaemia, hypokalaemia, sodium accumulation and oedema","Hypernatraemia or fluid retention, hypersensitivity (ophthalmic products), sodium chloride solutions with preservatives in newborns, for injection or flushing of intravenous lines or mixing medications, hypertonic saline abortifacient in pregnancies less than 15 weeks",Not known,"Restrict intake in impaired renal function, cardiac failure, hypertension, peripheral and pulmonary oedema, toxaemia of pregnancy. Diabetes mellitus or carbohydrate intolerance and hyperglycaemia may accentuate neurologic damage for an ischaemic insult. Patients at risk for cerebral ischaemia, acute stroke, impending cardiac arrest or severe hypotension unless hypoglycaemia is suggested or until glucose is determined",FALSE,
Sodium Chloride 0.45% Injection,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA03100P6001XX,Yes,APPL,B,For replenishing fluid and for restoring / maintaining the concentration of sodium and chloride ions,,100 - 1000 ml by IV or according to the needs of the patient,"Nausea, vomiting, diarrhoea, abdominal cramps, congestive heart failure, hypertension, tachycardia, fluid accumulation, irritability, restlessness, weakness, headache, dizziness, obtundation and convulsions","Hypernatraemia or fluid retention, hypersensitivity (ophthalmic products), sodium chloride solutions with preservatives in newborns, for injection or flushing of intravenous lines or mixing medications, hypertonic saline abortifacient in pregnancies less than 15 weeks",Not known,"Restrict intake in impaired renal function, cardiac failure, hypertension, peripheral and pulmonary oedema, toxaemia of pregnancy",FALSE,
Sodium Chloride 0.9% Injection,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA03100P6002XX,Yes,Government Contract,C+,For replenishing fluid and for restoring/maintaining the concentration of sodium and chloride ions,,100 - 1000 ml by IV or according to the needs of the patient,"Nausea, vomiting, diarrhoea, abdominal cramps, congestive heart failure, hypertension, tachycardia, fluid accumulation, irritability, restlessness, weakness, headache, dizziness, obtundation and convulsions","Hypernatraemia or fluid retention, hypersensitivity (ophthalmic products), sodium chloride solutions with preservatives in newborns, for injection or flushing of intravenous lines or mixing medications, hypertonic saline abortifacient in pregnancies less than 15 weeks",Not known,"Restrict intake in impaired renal function, cardiac failure, hypertension, peripheral and pulmonary oedema, toxaemia of pregnancy",FALSE,
Sodium Chloride 0.9% Nasal Drop,,,,,C,Acute cold,,1 - 2 drops three time daily in each nostril,,,,,FALSE,
Sodium Chloride 0.9% with Dextrose 5% Injection,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA03904P6003XX,Yes,APPL,C+,For replenishing fluid and energy and for restoring or maintaining the concentration of sodium and chloride ions,,According to the needs of the patient,"Thrombophlebitis, rebound hypoglycaemia, hypokalaemia, sodium accumulation and oedema","Hypernatraemia or fluid retention, hypersensitivity (ophthalmic products), sodium chloride solutions with preservatives in newborns, for injection or flushing of intravenous lines or mixing medications, hypertonic saline abortifacient in pregnancies less than 15 weeks",Not known,"Restrict intake in impaired renal function, cardiac failure, hypertension, peripheral and pulmonary oedema, toxaemia of pregnancy. Diabetes mellitus or carbohydrate intolerance and hyperglycaemia may accentuate neurologic damage for an ischaemic insult. Patients at risk for cerebral ischaemia, acute stroke, impending cardiac arrest or severe hypotension unless hypoglycaemia is suggested or until glucose is determined",FALSE,
Sodium Valproate 200mg Tablet,Nervous System > Antiepileptics,N03AG01-520-T10-01-XXX,Yes,APPL,B,i. Epilepsy ii. Treatment and prevention of mania associated with bipolar disorders,,"i. Epilepsy: ADULT: Initially 600 mg/day in 2 - 3 divided doses, dose may be increased by 200 mg at 3-day intervals to max 2.5 g/day. Usual maintenance dose: 1-2 g/day (20-30 mg/kg/day). CHILD: - More than 20 kg. Initially 400 mg/day with spaced increases until control is achieved (usually 20-30 mg/kg/day), dose may be increased to 35 mg/kg/day. - Less than 20 kg 20 mg/kg/day, in severe cases the dose may be increased provided plasma concentration can be monitored. ii. Treatment and prevention of mania associated with bipolar disorders: ADULT: The recommended initial dose is 1000mg/day. The dose should be increased as rapidly as possible to achieve the lowest therapeutic dose, which produces the desired clinical effects. The recommended maintenance dosage for the treatment of bipolar disorder is between 1000mg and 2000mg daily. In exceptional cases, the dose may be increased to not more than 3000mg daily.","Nausea, vomiting, headache, dizziness, ataxia, tremor, weight gain, transient hair loss, oedema, thrombocytopenia, leukopenia. Liver dysfunction, gastrointestinal disorders NPRA Safety Alert (21 Jan 2020): - Risk of congenital malformations in neonates, and serious developmental problems among children whose mothers were exposed to sodium valproate during pregnancy.","Increases phenobarbital, primidone and phenytoin free form plasma concentrations. Potentiates toxic effect of carbamazepine. Risk of rash may be increased by coadministration with lamotrigine. May potentiate the effect of antipsychotics, MAOIs, antidepressants and benzodiazepines. Monitor prothrombin time when used with anticoagulants. Caution when used with newer anti-epileptics whose pharmacodynamics are not well-established. Zidovudine, mefloquine, chloroquine, imipenem, meropenem NPRA Safety Alert (31 Jan 2019): • Epilepsy: - valproate is contraindicated in pregnancy unless there is no suitable alternative treatment. - valproate is contraindicated in women of childbearing potential, unless the conditions described in the Direct Healthcare Professional Communication (DHPC) letter are fulfilled. • Bipolar disorder: - valproate is contraindicated in pregnancy. - valproate is contraindicated in women of childbearing potential, unless the conditions described in the DHPC letter are fulfilled.","Increases phenobarbital, primidone and phenytoin plasma concentrations. Potentiates toxic effect of carbamazepine. Risk of rash may be increased by coadministration with lamotrigine. May potentiate the effect of neuroleptics, MAOIs, antidepressants and benzodiazepines. Potentiate effects of MAOIs. Monitor prothrombin time when used with anticoagulants. Caution when used with newer anti-epileptics whose pharmacodynamics are not well-established. NPRA Safety Alert (10 June 2018): - Drug-drug Interaction with Propofol","Avoid sudden withdrawal, certain metabolic disorders, fatigue, loss of appetite, vomiting. Lactation. Avoid concomitant use of salicylates in children less than 3 years due to risk of liver toxicity, use of salicylates in children less than 16 years is also not recommended. Monitor liver function before therapy and during first 6 months. Potential for an increase in risk of suicidal thoughts or behaviours. Pancreatitis, renal insufficiency, SLE, hyperammonaemia, diabetic patients, weight gain",FALSE,
Spironolactone 25 mg Tablet,Cardiovascular System > Diuretics,C03DA01000T1001XX,Yes,APPL,B,"Oedema and ascites in cirrhosis of the liver, congestive heart failure",,ADULT: 100 - 200 mg daily in divided doses. Increase to 400 mg if required. CHILD: initially 3 mg/kg daily in divided doses,"Headache, drowsiness, gastrointestinal disturbances including cramp and diarrhoea, ataxia, mental confusion, hirsutism, deepening of the voice, menstrual irregularities, impotence, skin rashes, hyponatraemia, hyperkalaemia","Hypersensitivity, hyperkalaemia, renal failure, anuria, patients receiving other potassium-sparing diuretics or potassium supplements","Angiotensin converting enzyme inhibitors, ciclosporin: hyperkalaemia. Aspirin: decreased spironolactone effectiveness. Digoxin: digoxin toxicity (nausea, vomiting, cardiac arrhythmias). NSAIDs: reduced diuretic effectiveness, hyperkalaemia","Hyperkalaemia or progressive renal failure, impaired hepatic or renal function, diabetes mellitus, patients likely to develop acidosis. Pregnancy and lactation",FALSE,
Streptomycin Sulphate 1g Injection,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01GA01-183-P40-01-XXX,Yes,APPL,B,i) Tuberculosis ii) Brucellosis iii) Bacterial endocarditis,max: 1.5 g/dose. Not >120 g over the course of treatment should be given unless there are no other treatment options. Child: 20-40 mg/kg (max: 1 g) daily or 25-30 mg/kg (max: 1.5 g) 2-3 times weekly,15 mg/kg daily (Max: 1 g daily) Dosing is according to product insert.,"Ototoxicity and nephrotoxicity, Giddiness, vertigo, tinnitus, ataxia, hypersensitivity reactions, Anaphylactic shock, aplastic anaemia and agranulocytosis. Stevens-Johnson syndrome and toxic epidermal necrolysis.Vitamin K and vitamin B deficiency.",Hypersensitivity to other aminoglycosides. Pregnancy.,"Used with blood substitutes and diuretics, ciclosporin,cisplatin, vancomycin intensify nephrotoxicity and ototoxicity. H1-receptor blockers may mask early signs of ototoxicity.Possible inhibition of respiration with anaesthetics or muscle relaxants.","Renal and hepatic impairment. Elderly, Pregnancy and lactation, patient with myasthenia gravis.",FALSE,
Sulphamethoxazole 400mg & Trimethoprim 80mg Tablet,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01EE01-961-T10-01-XXX,Yes,APPL,B,i) Severe or complicated infections due to susceptible infection. ii) Treatment and prophylaxis of pneumocystis carinii pneumonia (PCP) in immunocompromised patients,6 months - 5 years: 240 mg,i) ADULT: 1 - 3 tablets twice daily ii) Treatment: ADULT & CHILD over 4 weeks: 120 mg/kg/day in 2 - 4 divided doses for 14 days. Prophylaxis: ADULT: 960 mg once daily or 960 mg on alternate days (3 times a week) or 960 mg twice daily on alternate days (3 times a week). CHILD; 6 weeks - 5 months: 120 mg twice daily on 3 consecutive days or 7 days per week; 6 months - 5 years: 240 mg; 6 - 12 years: 480 mg,"Gastrointestinal upsets, stomatitis, glossitis and skin rashes, tinnitus, erythema multiforme, Stevens-Johnson syndrome, Lyell's syndrome, leucopenia, neutropenia, thrombocytopenia, agranulocytosis, megaloblastic anaemia, pancytopenia or purpura, hyperkalaemia","Marked liver parenchymal damage, blood dyscrasias, severe renal impairment, pregnancy, hypersensitivity. Use with caution in premature babies or full-term infants in the neonatal period",Increased risk of thrombocytopenia with thiazide diuretics in elderly. May require dosage reduction of warfarin and phenytoin. May displace methotrexate from plasma protein binding sites. Increased risk of venticular arrhythmias with amiodarone,"Haematological disorders, elderly, pregnancy, lactation, G6PD deficiency, folate deficiency, impaired renal function NPRA Safety Alert 1. 30.12.2021 Risk of Acute Respiratory Distress Syndrome (ARDS)",FALSE,
Sulpiride 200 mg Tablet,Nervous System > Psycholeptics,N05AL01000T1001XX,Yes,Government Contract,B,Acute and chronic psychotic disorders,,200-1000mg daily,"Extrapyramidal syndrome, drowsiness, dry mouth, urinary retention, tachycardia, postural hypotension, dizziness, galactorrhoea, gynaecomastia, amenorrhoea, sedation, somnolence. Early dyskinesia, tardive dyskinesia, sedation or drowsiness, transient hyperprolactinemia, weight gain, QT interval prolongation, orthostatic hypotension, neuroleptic malignant syndrome","Hypersensitivity to sulpiride, phaeochromocytoma, prolactin dependent tumour, in combination with sultopride and dopamine agonists apart from in patients with Parkinson's disease, lactation, levodopa, class Ia and III antiarrhythmics, certain neuroleptics (thioridazine, chlorpromazine, levomepromazine, trifluoperazine, cyamemazine, amisulpride, tiapride, pimozide, haloperidol, droperidol), bepridil, cisapride, diphemanil, erythromycin, mizolastine, vincamine, halofantrine, pentamidine, sparfloxacin, moxifloxacin","Tramadol, increased risk of seizures. Other central nervous system depressants, alcohol, levodopa. Dopamine agonists, sultopride, halofantrine, pentamidine, sparfloxacin, moxifloxacin, bradycardiac agents, hypokalaemic agents, antihypertensives, if treatment with neuroleptics is necessary in patients with Parkinson's disease receiving treatment with dopamine agonists, the latter must be gradually reduced and then discontinued","Cardiovascular disease, manic or hypomanic patients, renal insufficiency, neuroleptic malignant syndrome, hyperthyroidism, pulmonary disease, urinary retention, previous hypersensitivity to other benzamide derivatives eg. metoclopramide, elderly patients. Pregnancy, lactation, Parkinson's disease. May be exacerbated by the presence of bradycardia, hypokalaemia, a long QT which is either congential or acquired (due to combination with a medicinal product increasing the QT interval). Do not use in the event of congential galactosaemia, glucose/galactose malabsorption syndrome or lactase deficiency and children less than 6 year. Parkinson's disease, renal impairment, epileptic patients. Avoid alcohol",FALSE,
Telmisartan 40 mg Tablet,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09CA07000T1001XX,No,APPL,A/KK,"Patients intolerant to ACE inhibitors in: i) Hypertension ii) Reduction of the risk of myocardial infarction, stroke, or death from cardiovascular causes in patients 55 years or older at high risk of developing major cardiovascular events who are unable to take ACE inhibitors",,i) 40mg - 80mg once daily. Max: 160mg daily ii) 80mg once daily Dosing is individualised and according to product insert / protocol.,"Headache, dizziness, upper respiratory infection and cough NPRA Safety Alert 1. 28 May 2025 (ARBs) Intestinal Angioedema","Hypersensitivity to telmisartan products, pregnancy and renal artery stenosis, lactation, biliary obstructive disorders, severe hepatic impairment","Potassium-sparing diuretics, potassium supplements, salt substitutes containing potassium or other medicinal products that may cause hyperkalaemia (esp digoxin, lithium) May increase hypotensive effect of other antihypertensive","Angioedema (associated with aspirin and or penicillin allergy), discontinue with laryngeal stridor or angioedema of the face, tongue or glottis. Aortic or mitral valve stenosis, biliary cirrhosis or biliary obstruction, coronary artery disease and elderly, biliary obstructive disorders or hepatic insufficiency, Patient with diabetes mellitus & coronary artery disease (CAD). NPRA Safety Alert 1. 28 May 2025 (ARBs) Intestinal Angioedema",FALSE,
Telmisartan 80 mg Tablet,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09CA07000T1002XX,No,APPL,A/KK,"Patients intolerant to ACE inhibitors in: i) Hypertension ii) Reduction of the risk of myocardial infarction, stroke, or death from cardiovascular causes in patients 55 years or older at high risk of developing major cardiovascular events who are unable to take ACE inhibitors",,i) 40mg - 80mg once daily. Max: 160mg daily ii) 80mg once daily Dosing is individualised and according to product insert / protocol.,"Headache, dizziness, upper respiratory infection and cough NPRA Safety Alert 1. 28 May 2025 (ARBs) Intestinal Angioedema","Hypersensitivity to telmisartan products, pregnancy and renal artery stenosis, lactation, biliary obstructive disorders, severe hepatic impairment","Potassium-sparing diuretics, potassium supplements, salt substitutes containing potassium or other medicinal products that may cause hyperkalaemia (esp digoxin, lithium) May increase hypotensive effect of other antihypertensive","Angioedema (associated with aspirin and or penicillin allergy), discontinue with laryngeal stridor or angioedema of the face, tongue or glottis. Aortic or mitral valve stenosis, biliary cirrhosis or biliary obstruction, coronary artery disease and elderly, biliary obstructive disorders or hepatic insufficiency, Patient with diabetes mellitus & coronary artery disease (CAD). NPRA Safety Alert 1. 28 May 2025 (ARBs) Intestinal Angioedema",FALSE,
Tenofovir Disoproxil Fumarate 300 mg & Emtricitabine 200 mg Tablet,Antiinfectives for Systemic Use > Antivirals for Systemic Use,J05AR03-964-T10-01-XXX,Yes,APPL,A/KK,i. Treatment of HIV-1 infection in adults in combination with other antiretroviral agents (such as non-nucleoside reverse transcriptase inhibitors or protease inhibitors). ii. Indicated in combination with safer sex practices for pre-exposure prophylaxis (PrEP) to reduce the risk of sexually acquired HIV-1 infection in adults at high risk.,"Indication (ii): i. To prescribe Emtricitabine/Tenofovir Disoproxil as part of a comprehensive prevention strategy ii. All uninfected individuals must be counselled to strictly adhere to the recommended Emtricitabine/Tenofovir Disoproxil dosing schedule iii. A negative HIV-1 test must be confirmed immediately prior to initiating Emtricitabine/Tenofovir Disoproxil. If clinical symptoms consistent with acute viral infection are present and recent (<1 month) exposures are suspected, starting of PrEP must be delayed for at least one month and HIV-1 status need to be reconfirmed, including acute or primary HIV-1 infection; and iv. To screen HIV-1 infection at least once every 3 months while taking Emtricitabine/Tenofovir Disoproxil for PrEP.",1 tablet once daily.,"Nausea, vomiting, diarrhoea, abdominal pain, dyspepsia, flatulence, pain, hypersensitivity, increased pigmentation, asthenia, osteonecrosis, osteomalacia, metabolic abnormalities (e.g. hyperglycaemia, insulin resistance, hypercholesterolaemia, hypertriglyceridaemia, hyperlactataemia), lipodystrophy, elevated lipase, amylase, creatine kinase or transaminases levels, hyperbilirubinaemia, insomnia, abnormal dreams, neutropenia, anaemia, immune reactivation syndrome, renal impairment, acute renal failure, fanconi syndrome.",Hypersensitivity to tenofovir or emricitabine.,"Increased plasma level of tenofovir and reduced plasma levels of other agent: atazanavir, lopinavir (both have to be co-administered with ritonavir). Increased adverse events of other agent: didanosine. Increased risk of nephrotoxicity when used with other nephrotoxic agents (e.g. aminoglycosides, vancomycin, etc). Increased plasma level when used with other agents excreted renally by active tubular secretion (e.g. probenecid).","Liver impairment; caution in Hepatitis B virus (HBV) coinfection, may result in severe and acute exacerbation or flare up of hepatitis on discontinuation of treatment. Renal impairment; dosing adjustment required in CrCl < 50ml/min, not recommended if CrCl < 30ml/min. Avoid co-administration of nephrotoxic agents. Lactation, avoid breast feeding. Avoid co-administration of lamivudine.",FALSE,
Terazosin HCl 2 mg Tablet,Genito Urinary System and Sex Hormones > Urologicals,G04CA03110T1002XX,No,LP,A/KK,i) Treatment of Benign Prostatic Hyperplasia ii)Hypertension,,i) Initial dose: 1 mg at bedtime. Maintenance dose: 5-10mg once daily ii) Initial dose: 1mg at bedtime Maintenance dose: 1-5mg once daily. Max: 20-40mg/day,"Tachycardia, dizziness, syncope, headache and asthenia, nasal congestion, drowsiness, nausea, peripheral edema, postural hypotension.",Hypersensitivity to terazosin products or other quinazolines,"In patients currently on beta blockers, the first dose response (marked initial drop in blood pressure, particularly on standing) to an alpha-1 adrenergic blocking drug may be exaggerated. Concomitant therapy with ibuprofen and antihypertensive agents has been reported to result in increases in blood pressure and interference with blood pressure control","Carcinoma of the prostate and benign prostatic hyperplasia may cause the same symptoms. Prostate cancer should be ruled out prior to treatment. Dizziness, lightheadedness, orthostatic hypotension, syncope (first-dose effect). Patients advised to avoid driving or doing hazardous tasks for the first 12 hours after the initial dose or when dose is increased.",FALSE,
Terazosin HCl 5 mg Tablet,Genito Urinary System and Sex Hormones > Urologicals,G04CA03110T1003XX,No,LP,A/KK,i) Treatment of Benign Prostatic Hyperplasia ii)Hypertension,,i) Initial dose: 1 mg at bedtime. Maintenance dose: 5-10mg once daily ii) Initial dose: 1mg at bedtime. Maintenance dose: 1-5mg once daily. Max: 20-40mg/day,"Tachycardia, dizziness, syncope, headache and asthenia, nasal congestion, drowsiness, nausea, peripheral edema, postural hypotension.",Hypersensitivity to terazosin products or other quinazolines,"In patients currently on beta blockers, the first dose response (marked initial drop in blood pressure, particularly on standing) to an alpha-1 adrenergic blocking drug may be exaggerated. Concomitant therapy with ibuprofen and antihypertensive agents has been reported to result in increases in blood pressure and interference with blood pressure control","Carcinoma of the prostate and benign prostatic hyperplasia may cause the same symptoms. Prostate cancer should be ruled out prior to treatment. Dizziness, lightheadedness, orthostatic hypotension, syncope (first-dose effect). Patients advised to avoid driving or doing hazardous tasks for the first 12 hours after the initial dose or when dose is increased.",FALSE,
Terbutaline Sulphate 0.5mg/ml Injection,Respiratory System > Drugs for Obstructive Airway Diseases,R03CC03-183-P30-01-XXX,Yes,LP,B,"Bronchial asthma, chronic bronchitis, emphysema and other lung diseases where broncoconstriction is a complicating factor",,"SC, IM or slow IV : 250-500 mcg up to 4 times daily. CHILD 2 - 15 years 10mcg/kg to a maximum of 300 mcg. Continuous IV infusion, as a solution containing 3 - 5 mcg/ml, 1.5 - 5 mcg/minute for 8 - 10 hours; reduce dose for children","Nausea, vomiting and headache, tremor, tonic cramp, palpitation, tachycardia and arrythmias.",Not to be used in neonates,"Beta-blockers - inhibit bronchodilating effect. Monoamine oxidase inhibitors - increased risk of tachycardia, agitation or hypomania. Theophylline - decreased theophylline concentrations","This preparation contains benzyl alcohol, its use should be avoided in children under 2 years of age. This product contains Sodium Metabisulphite that may cause serious allergic type reactions in certain susceptible patients. Caution use in with patients with cardiovascular disease, pregnant patients or women in labor",FALSE,
Tetanus Toxoid Vaccine Injection,Antiinfectives for Systemic Use > Vaccines,J07AM01-000-P30-01-XXX,Yes,APPL,C+,Immunisation against tetanus infection.,,0.5 mL by IM. Dosing is according to product insert.,"Local reaction, fever, headache and malaise, brachial (cervical) neuritis, Guillain-Barre syndrome, nausea, arthralgia, anaphylaxis, Arthus type urticaria","Hypersensitivity to any component of the vaccine, febrile illness or acute infection, severe allergic reaction after previous dose.",Chloramphenicol.,"Not recommended for children less than 7 years, convulsion, febrile illness. Adrenaline injection must be readily available in case of anaphylactic reaction. Do not administer IV.",FALSE,
Theophylline 250mg Long Acting Tablet,Respiratory System > Drugs for Obstructive Airway Diseases,R03DA04-000-T50-01-XXX,Yes,Government Contract,B,Reversible airways obstruction and acute severe asthma,,ADULT: 250 mg 2 times daily. CHILD under 12 years : Up to 10 mg/kg body weight 2 times daily,"Gastric irritation,nausea, vomiting, anorexia, epigastric pain,reactivation of peptic ulcer, gasro esophageal reflux, haematemesis, tachycardia, palpiation, headache, CNS stimulation, reflex hyperexcitability, insomnia and tremor. Other possible reactions include diarrhea, extrasystoles, flushing, hypotension, tachypnoea, potentiation of diuresis, albuminuria, haematuria, rash, hyperglycemia, hypokalaemia, alopecia, inappropriate ADH secretion(high dose), more serious signs of high serum levels(usually above 30 microgram/mL) such as cardiac arrythmias and convulsions, may appear without prior warning",Hypersensitivity to theophylline,"Azole antifungals,macrolides, quinolones, oral contraceptives, disulfiram, interfereon alpha and verapamil, cimetidine, high dose allopurinol","Patients with reduced thyroid function, congestive heart failure, acute pulmonary oedema,chronic obstructive pulmonary disease, severe hypoxia, pneumonia, acute febrile episodes, viral infection, impaired liver function: reduced theophylline clearance. Patients with cardiac arrythmias, coronary artery disease, unstable angina, cardiomyopathy and severe hypertension.Patients with peptic ulcer disease or gastro esophageal reflux. Concomitant medication use which results in reduced theophylline clearance.",FALSE,
